module name,license,repository
multistream,MIT,https://github.com/feross/multistream
negotiator,MIT,https://github.com/jshttp/negotiator
nexe,MIT,https://github.com/nexe/nexe
nice-try,MIT,https://github.com/electerious/nice-try
node-getopt,MIT,https://github.com/jiangmiao/node-getopt
normalize-package-data,BSD-2-Clause,https://github.com/npm/normalize-package-data
normalize-path,MIT,https://github.com/jonschlinkert/normalize-path
normalize-url,MIT,https://github.com/sindresorhus/normalize-url
npm-conf,MIT,https://github.com/kevva/npm-conf
npm-run-all,MIT,https://github.com/mysticatea/npm-run-all
object-assign,MIT,https://github.com/sindresorhus/object-assign
object-inspect,MIT,https://github.com/inspect-js/object-inspect
object-keys,MIT,https://github.com/ljharb/object-keys
object.assign,MIT,https://github.com/ljharb/object.assign
on-finished,MIT,https://github.com/jshttp/on-finished
once,ISC,https://github.com/isaacs/once
onetime,MIT,https://github.com/sindresorhus/onetime
ora,MIT,https://github.com/sindresorhus/ora
p-cancelable,MIT,https://github.com/sindresorhus/p-cancelable
p-event,MIT,https://github.com/sindresorhus/p-event
p-finally,MIT,https://github.com/sindresorhus/p-finally
p-is-promise,MIT,https://github.com/sindresorhus/p-is-promise
p-timeout,MIT,https://github.com/sindresorhus/p-timeout
parse-json,MIT,https://github.com/sindresorhus/parse-json
parseurl,MIT,https://github.com/pillarjs/parseurl
path-exists,MIT,https://github.com/sindresorhus/path-exists
path-is-absolute,MIT,https://github.com/sindresorhus/path-is-absolute
path-key,MIT,https://github.com/sindresorhus/path-key
path-parse,MIT,https://github.com/jbgutierrez/path-parse
path-to-regexp,MIT,https://github.com/component/path-to-regexp
path-type,MIT,https://github.com/sindresorhus/path-type
pend,MIT,https://github.com/andrewrk/node-pend
picomatch,MIT,https://github.com/micromatch/picomatch
pidtree,MIT,https://github.com/simonepri/pidtree
pify,MIT,https://github.com/sindresorhus/pify
pinkie-promise,MIT,https://github.com/floatdrop/pinkie-promise
pinkie,MIT,https://github.com/floatdrop/pinkie
prepend-http,MIT,https://github.com/sindresorhus/prepend-http
process-nextick-args,MIT,https://github.com/calvinmetcalf/process-nextick-args
proto-list,ISC,https://github.com/isaacs/proto-list
proxy-addr,MIT,https://github.com/jshttp/proxy-addr
pump,MIT,https://github.com/mafintosh/pump
qs,BSD-3-Clause,https://github.com/ljharb/qs
query-string,MIT,https://github.com/sindresorhus/query-string
queue-microtask,MIT,https://github.com/feross/queue-microtask
quick-lru,MIT,https://github.com/sindresorhus/quick-lru
range-parser,MIT,https://github.com/jshttp/range-parser
raw-body,MIT,https://github.com/stream-utils/raw-body
rcedit,MIT,https://github.com/electron/node-rcedit
read-pkg-up,MIT,https://github.com/sindresorhus/read-pkg-up
read-pkg,MIT,https://github.com/sindresorhus/read-pkg
readable-stream,MIT,https://github.com/nodejs/readable-stream
readdirp,MIT,https://github.com/paulmillr/readdirp
redent,MIT,https://github.com/sindresorhus/redent
repeating,MIT,https://github.com/sindresorhus/repeating
resolve-alpn,MIT,https://github.com/szmarczak/resolve-alpn
resolve-dependencies,MIT,
resolve,MIT,https://github.com/browserify/resolve
responselike,MIT,https://github.com/lukechilds/responselike
restore-cursor,MIT,https://github.com/sindresorhus/restore-cursor
reusify,MIT,https://github.com/mcollina/reusify
rimraf,ISC,https://github.com/isaacs/rimraf
run-parallel,MIT,https://github.com/feross/run-parallel
safe-buffer,MIT,https://github.com/feross/safe-buffer
safer-buffer,MIT,https://github.com/ChALkeR/safer-buffer
seek-bzip,MIT,https://github.com/cscott/seek-bzip
semver,ISC,https://github.com/npm/node-semver
send,MIT,https://github.com/pillarjs/send
serve-static,MIT,https://github.com/expressjs/serve-static
setprototypeof,ISC,https://github.com/wesleytodd/setprototypeof
shebang-command,MIT,https://github.com/kevva/shebang-command
shebang-regex,MIT,https://github.com/sindresorhus/shebang-regex
shell-quote,MIT,https://github.com/substack/node-shell-quote
signal-exit,ISC,https://github.com/tapjs/signal-exit
slash,MIT,https://github.com/sindresorhus/slash
socket.io-adapter,MIT,https://github.com/socketio/socket.io-adapter
socket.io-parser,MIT,https://github.com/socketio/socket.io-parser
socket.io,MIT,https://github.com/socketio/socket.io
sort-keys-length,MIT,https://github.com/kevva/sort-keys-length
sort-keys,MIT,https://github.com/sindresorhus/sort-keys
source-map-support,MIT,https://github.com/evanw/node-source-map-support
source-map,BSD-3-Clause,https://github.com/mozilla/source-map
spdx-correct,Apache-2.0,https://github.com/jslicense/spdx-correct.js
spdx-exceptions,CC-BY-3.0,https://github.com/kemitchell/spdx-exceptions.json
spdx-expression-parse,MIT,https://github.com/jslicense/spdx-expression-parse.js
spdx-license-ids,CC0-1.0,https://github.com/jslicense/spdx-license-ids
statuses,MIT,https://github.com/jshttp/statuses
stream-transform,MIT,https://github.com/adaltas/node-stream-transform
strict-uri-encode,MIT,https://github.com/kevva/strict-uri-encode
string.prototype.padend,MIT,https://github.com/es-shims/String.prototype.padEnd
string.prototype.trimend,MIT,https://github.com/es-shims/String.prototype.trimEnd
string.prototype.trimstart,MIT,https://github.com/es-shims/String.prototype.trimStart
string_decoder,MIT,https://github.com/nodejs/string_decoder
strip-ansi,MIT,https://github.com/chalk/strip-ansi
strip-bom,MIT,https://github.com/sindresorhus/strip-bom
strip-dirs,MIT,https://github.com/shinnn/node-strip-dirs
strip-indent,MIT,https://github.com/sindresorhus/strip-indent
strip-json-comments,MIT,https://github.com/sindresorhus/strip-json-comments
strip-outer,MIT,https://github.com/sindresorhus/strip-outer
supports-color,MIT,https://github.com/chalk/supports-color
tapable,MIT,https://github.com/webpack/tapable
tar-stream,MIT,https://github.com/mafintosh/tar-stream
through,MIT,https://github.com/dominictarr/through
timed-out,MIT,https://github.com/floatdrop/timed-out
to-buffer,MIT,https://github.com/mafintosh/to-buffer
to-regex-range,MIT,https://github.com/micromatch/to-regex-range
toidentifier,MIT,https://github.com/component/toidentifier
tree-kill,MIT,https://github.com/pkrumins/node-tree-kill
trim-newlines,MIT,https://github.com/sindresorhus/trim-newlines
trim-repeated,MIT,https://github.com/sindresorhus/trim-repeated
ts-node-dev,MIT,https://github.com/whitecolor/ts-node-dev
ts-node,MIT,https://github.com/TypeStrong/ts-node
tsconfig,MIT,https://github.com/TypeStrong/tsconfig
tunnel-agent,Apache-2.0,https://github.com/mikeal/tunnel-agent
type-is,MIT,https://github.com/jshttp/type-is
typescript,Apache-2.0,https://github.com/Microsoft/TypeScript
unbzip2-stream,MIT,https://github.com/regular/unbzip2-stream
unpipe,MIT,https://github.com/stream-utils/unpipe
url-parse-lax,MIT,https://github.com/sindresorhus/url-parse-lax
url-to-options,MIT,https://github.com/stevenvachon/url-to-options
util-deprecate,MIT,https://github.com/TooTallNate/util-deprecate
utils-merge,MIT,https://github.com/jaredhanson/utils-merge
validate-npm-package-license,Apache-2.0,https://github.com/kemitchell/validate-npm-package-license.js
vary,MIT,https://github.com/jshttp/vary
wcwidth,MIT,https://github.com/timoxley/wcwidth
which,ISC,https://github.com/isaacs/node-which
wrappy,ISC,https://github.com/npm/wrappy
ws,MIT,https://github.com/websockets/ws
xtend,MIT,https://github.com/Raynos/xtend
yauzl,MIT,https://github.com/thejoshwolfe/yauzl
yn,MIT,https://github.com/sindresorhus/yn
